seed,algorithm,success,rmse,trajectoryCost,meanSolveTime,maxSolveTime,totalSolveTime,wheelSpeedViolationRatio,maxWheelSpeedViolation,steeringRateViolationRatio,maxSteeringRateViolation,successRate,elapsedTime
62,e-lmpc,1,0.0201235953589727,15.249404398766,0.010560769375,0.0203368,1.6897231,0.0171875,0.000456438544758964,0,3.73430509625905e-07,1,2.06049
63,e-lmpc,1,0.0210507472274711,13.2078602113061,0.0104050993421053,0.0214504,1.5815751,0,0,0,1.54360467519155e-07,1,1.9281487
64,e-lmpc,1,0.057581110482067,67.1571506559636,0.0125050613333333,0.0238375,0.9378796,0.01,0.00685432315768875,0,9.61488670014887e-07,1,1.1825967
65,e-lmpc,1,0.0417063600123031,24.8263854330128,0.0106601044776119,0.0219482,1.428454,0.00746268656716418,0.00924814547925834,0,1.56288695762896e-07,1,1.7763181
66,e-lmpc,1,0.0648930649307654,101.688562342183,0.0110047690909091,0.0241486,0.6052623,0.0272727272727273,0.0286764294872723,0,9.2022558639826e-07,1,0.7790044
67,e-lmpc,1,0.0397617576753094,40.3053575148522,0.0132142917525773,0.0251579,1.2817863,0,0,0,3.03920497657373e-07,1,1.5843877
68,e-lmpc,1,0.0200976933948757,15.9719929362761,0.0114179284615385,0.0224451,1.4843307,0,0,0,2.00034065755972e-07,1,1.8245665
69,e-lmpc,1,0.0970670254372933,132.367797223823,0.0115665459183673,0.0247096,1.1335215,0.0127551020408163,0.00473531889831769,0,2.08543321278398e-07,1,1.4048778
70,e-lmpc,1,0.0607017792605048,48.3314252525056,0.0138263360824742,0.0232664,1.3411546,0.0515463917525773,0.0137880108740429,0,4.35378176177892e-07,1,1.6532575
71,e-lmpc,1,0.0389902677743439,33.2116900076007,0.0124298835714286,0.029707,1.7401837,0,0,0,3.40353711436592e-07,1,2.1759302
72,e-lmpc,1,0.0257524301651798,48.0061279494295,0.0136960735632184,0.0282145,1.1915584,0,0,0,1.18847158070423e-06,1,1.4819284
73,e-lmpc,1,0.0209466327917936,11.9556370752371,0.0118619338709677,0.0264133,2.2063197,0,0,0,3.66125258111083e-07,1,2.7111397
74,e-lmpc,1,0.207790380084915,238.346319421496,0.00919934861111111,0.0161574,0.6623531,0,0,0,7.20502645989995e-07,1,0.8230773
75,e-lmpc,1,0.0311964969198374,14.2063747146644,0.010931992,0.0212715,1.6397988,0,0,0,1.29756930533631e-07,1,2.0237448
76,e-lmpc,1,0.0512799029675387,79.0928759220649,0.0117955561904762,0.0256602,1.2385334,0.0285714285714286,0.000717774819758876,0,8.65241958081242e-08,1,1.5413899
77,e-lmpc,1,0.0246585141004134,9.52338356286214,0.0117046420289855,0.0211635,1.6152406,0,0,0,1.96551525277755e-07,1,2.0071775
78,e-lmpc,1,0.0272512582763055,49.1975877831222,0.0114690551724138,0.0210101,0.9978078,0.0114942528735632,0.00504631817876433,0,6.56256521125442e-07,1,1.2369967
79,e-lmpc,1,0.0390887658250275,21.3476446395241,0.0112237629032258,0.0208858,1.3917466,0,0,0,9.11370871747863e-06,1,1.7283494
80,e-lmpc,1,0.0441490265878593,72.5488792216569,0.0100640438461538,0.0258524,1.3083257,0.0211538461538462,0.0048861734263741,0,5.57394329803174e-07,1,1.6099228
81,e-lmpc,1,0.0316460653858879,21.4575794366576,0.0127817103703704,0.028004,1.7255309,0,0,0,2.01144917610918e-07,1,2.1446769
82,e-lmpc,1,0.027786773639206,17.7581738109243,0.0107075545454545,0.0293579,2.1200958,0,0,0,1.20282544102679e-05,1,2.6172357
83,e-lmpc,1,0.0282945249551049,23.5327448228709,0.0101777097142857,0.0199166,1.7810992,0.00428571428571429,7.99101563626614e-05,0,8.11011513945914e-07,1,2.2029307
84,e-lmpc,1,0.0451958596086833,57.4823462176503,0.0128007652631579,0.0219246,1.2160727,0.0763157894736842,0.00803606869236173,0,0,1,1.5123094
